3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
3.199E+01 1.875E-06 1.875E-06 4.907E-17 0.00E+00
3.162E+01 1.929E-06 1.929E-06 5.135E-17 0.00E+00
3.126E+01 1.983E-06 1.983E-06 5.374E-17 0.00E+00
3.090E+01 2.038E-06 2.038E-06 5.624E-17 0.00E+00
3.055E+01 2.093E-06 2.093E-06 5.886E-17 0.00E+00
3.020E+01 2.148E-06 2.148E-06 6.160E-17 0.00E+00
2.985E+01 2.203E-06 2.203E-06 6.446E-17 0.00E+00
2.951E+01 2.258E-06 2.258E-06 6.747E-17 0.00E+00
2.917E+01 2.312E-06 2.312E-06 7.061E-17 0.00E+00
2.884E+01 2.365E-06 2.365E-06 7.390E-17 0.00E+00
2.851E+01 2.418E-06 2.418E-06 7.734E-17 0.00E+00
2.818E+01 2.470E-06 2.470E-06 8.095E-17 0.00E+00
2.786E+01 2.521E-06 2.521E-06 8.472E-17 0.00E+00
2.754E+01 2.572E-06 2.572E-06 8.867E-17 0.00E+00
2.723E+01 2.623E-06 2.623E-06 9.281E-17 0.00E+00
2.692E+01 2.675E-06 2.675E-06 9.713E-17 0.00E+00
2.661E+01 2.728E-06 2.728E-06 1.017E-16 0.00E+00
2.630E+01 2.784E-06 2.784E-06 1.064E-16 0.00E+00
2.600E+01 2.845E-06 2.845E-06 1.114E-16 0.00E+00
2.570E+01 2.916E-06 2.916E-06 1.166E-16 0.00E+00
2.541E+01 2.999E-06 2.999E-06 1.220E-16 0.00E+00
2.512E+01 3.105E-06 3.105E-06 1.277E-16 0.00E+00
2.483E+01 3.246E-06 3.246E-06 1.336E-16 0.00E+00
2.455E+01 3.447E-06 3.447E-06 1.399E-16 0.00E+00
2.427E+01 3.752E-06 3.752E-06 1.464E-16 0.00E+00
2.399E+01 4.250E-06 4.250E-06 1.532E-16 0.00E+00
2.371E+01 5.104E-06 5.104E-06 1.603E-16 0.00E+00
2.344E+01 6.505E-06 6.505E-06 1.678E-16 0.00E+00
2.317E+01 7.932E-06 7.932E-06 1.757E-16 0.00E+00
2.291E+01 7.736E-06 7.736E-06 1.839E-16 0.00E+00
2.265E+01 6.681E-06 6.681E-06 1.924E-16 0.00E+00
2.239E+01 6.268E-06 6.268E-06 2.014E-16 0.00E+00
2.213E+01 6.777E-06 6.777E-06 2.108E-16 0.00E+00
2.188E+01 8.521E-06 8.521E-06 2.207E-16 0.00E+00
2.163E+01 1.250E-05 1.250E-05 2.310E-16 0.00E+00
2.138E+01 1.957E-05 1.957E-05 2.418E-16 0.00E+00
2.113E+01 2.226E-05 2.226E-05 2.531E-16 0.00E+00
2.089E+01 1.529E-05 1.529E-05 2.649E-16 0.00E+00
2.065E+01 9.566E-06 9.566E-06 2.773E-16 0.00E+00
2.042E+01 6.657E-06 6.657E-06 2.902E-16 0.00E+00
2.018E+01 5.174E-06 5.174E-06 3.038E-16 0.00E+00
1.995E+01 4.366E-06 4.366E-06 3.180E-16 0.00E+00
